"Reference","Value","Footprint","Datasheet","DigiKey_Part_Number","MANUFACTURER","Price","Purchase-URL","Qty"
"C1, C10, C17","1.0µF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","CC0805KKX7R8BB105","YAGEO","0.13","https://www.digikey.fi/en/products/detail/yageo/CC0805KKX7R8BB105/2833621","3"
"C2, C4, C5, C8","10µF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","CC0805KKX7R6BB106","YAGEO","0.22","https://www.digikey.fi/en/products/detail/yageo/CC0805KKX7R6BB106/5195285","4"
"C3, C18","2.2µF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/app/datasheet/mlcc/upy-gphc_x5r_4v-to-50v.pdf","CC0805KRX5R7BB225","-- mixed values --","0.16","https://www.digikey.fi/en/products/detail/yageo/CC0805KRX5R7BB225/5884185","2"
"C6, C7","22pF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf","CC0805KKX7R6BB106","YAGEO","0.10","https://www.digikey.fi/en/products/detail/yageo/CC0805KKX7R6BB106/5195285","2"
"C9","220nF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","CC0805KRX7R8BB224","YAGEO","0.13","https://www.digikey.fi/en/products/detail/yageo/CC0805KRX7R8BB224/2833597","1"
"C11-C16","100nF","Capacitor_SMD:C_0805_2012Metric","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-250V_24.pdf","CC0805KRX7R9BB104","","0.09","https://www.digikey.fi/en/products/detail/yageo/CC0805KRX7R9BB104/302874","6"
"D1","LED_B","LED_SMD:LED_0805_2012Metric","https://www.we-online.com/katalog/datasheet/150080BS75000.pdf","150080BS75000","Würth Elektronik","0.18","https://www.digikey.fi/en/products/detail/w%C3%BCrth-elektronik/150080BS75000/4489912","1"
"D2","LED_R","LED_SMD:LED_0805_2012Metric","https://www.we-online.com/katalog/datasheet/150080RS75000.pdf","150080RS75000","Würth Elektronik","0.18","https://www.digikey.fi/en/products/detail/w%C3%BCrth-elektronik/150080RS75000/4489918","1"
"H1-H3","MountingHole_Pad","MountingHole:MountingHole_3.5mm_Pad","","","","","","3"
"J1, J2, J5, J6","Conn_01x01_Pin","Connector_Wire:SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm","~","","","","","4"
"J3","USB_C_Receptacle_PowerOnly_6P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/5561/USB4125%20-%20Product%20Drawing.pdf","USB4125-GF-A","GCT","0.62","https://www.digikey.fi/en/products/detail/gct/USB4125-GF-A/13547388","1"
"J4","Conn_ARM_JTAG_SWD_10","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical","http://infocenter.arm.com/help/topic/com.arm.doc.ddi0314h/DDI0314H_coresight_components_trm.pdf","FTSH-105-01-L-DV-007-K","Samtec Inc.","2.08","https://www.digikey.fi/en/products/detail/samtec-inc/FTSH-105-01-L-DV-007-K/6678175","1"
"L1","2.2µH","Inductor_SMD:L_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/P02/J(E)TE243A-0029.pdf","dfe201210u-2r2m-p2","Murata Electronics","0.30","https://www.digikey.fi/en/products/detail/murata-electronics/dfe201210u-2r2m-p2/7595453","1"
"LED1","SMLP34RGBN1W3","SMLP34_ROM","https://fscdn.rohm.com/en/products/databook/datasheet/opto/led/chip_multi/smlp34rgbn1w3-e.pdf","SMLP34RGBN1W3","Rohm Semiconductor","1.26","https://www.digikey.fi/en/products/detail/rohm-semiconductor/SMLP34RGBN1W3/15629924","1"
"Q1","PJX8601_R1_00001","DMC2400UV-13:SOT50P160X60-6N","https://www.panjit.com.tw/upload/datasheet/PJX8601.pdf","PJX8601-R1-00001","Panjit International Inc.","0.33","https://www.digikey.fi/en/products/detail/panjit-international-inc/PJX8601-R1-00001/15811078","1"
"R1","4.7kΩ","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","RC0805FR-071K5L","YAGEO","0.09","https://www.digikey.fi/en/products/detail/yageo/RC0805FR-071K5L/727496","1"
"R2, R11-R14, R19, R20","10kΩ","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/app/datasheet/rchip/pyu-rt_1-to-0.01_rohs_l.pdf","RT0805FRE0710KL","YAGEO","0.09","https://www.digikey.fi/en/products/detail/yageo/RT0805FRE0710KL/1078908","7"
"R3","340Ω","Resistor_SMD:R_0805_2012Metric","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","RC0805FR-07330RL","YAGEO","0.09","https://www.digikey.fi/en/products/detail/yageo/RC0805FR-07330RL/727866","1"
